trial,judgment,num_cols
1,"[0.3410928695675775, 0.027943048550322837, 0.6309640818820996]",624
2,"[0.4765789269265272, 0.03226226197324013, 0.4911588111002328]",647
3,"[0.0398994818858511, 0.9204954809937878, 0.0396050371203612]",360
4,"[0.04518160562487631, 0.039521987713262624, 0.9152964066618611]",348
5,"[0.22755623431064403, 0.7362276854377564, 0.0362160802515996]",678
6,"[0.8219404990968963, 0.07035220550210651, 0.10770729540099708]",710
7,"[0.04439510840338427, 0.10862288036468712, 0.8469820112319287]",701
8,"[0.41536899643891156, 0.3945531656069583, 0.19007783795413014]",628
9,"[0.8659903555843128, 0.059005617969458295, 0.07500402644622883]",676
10,"[0.493897205947196, 0.022574447200160604, 0.48352834685264334]",599
11,"[0.06782733755391213, 0.05808064776439967, 0.8740920146816882]",1006
12,"[0.470581868136277, 0.035419670509120586, 0.4939984613546024]",769
13,"[0.6324303404112891, 0.3313462784567858, 0.03622338113192509]",765
14,"[0.06994296974663555, 0.07098531427643612, 0.8590717159769283]",776
15,"[0.4903459389250918, 0.02529666151914852, 0.4843573995557596]",316
16,"[0.03968970331500907, 0.815913370721895, 0.14439692596309597]",655
17,"[0.8892635834422119, 0.03319486891835413, 0.07754154763943392]",613
18,"[0.04316789981164544, 0.8057632635278709, 0.15106883666048374]",648
19,"[0.9173418190391366, 0.04275394286525999, 0.03990423809560347]",340
20,"[0.7412612248096938, 0.04603575212436197, 0.21270302306594416]",679
21,"[0.03391127395249606, 0.9276170862982553, 0.03847163974924862]",380
22,"[0.031131141166441986, 0.4320216657888316, 0.5368471930447264]",821
23,"[0.43768005853657693, 0.3051781256071167, 0.25714181585630635]",784
24,"[0.040224644055407224, 0.03890228095531203, 0.9208730749892808]",363
25,"[0.45993653178691907, 0.5003757629771461, 0.03968770523593478]",750
26,"[0.03907683056077871, 0.036181492790004134, 0.9247416766492171]",352
27,"[0.043403325908250856, 0.03890669262401172, 0.9176899814677375]",353
28,"[0.5565417534162821, 0.4165357656378139, 0.02692248094590408]",626
29,"[0.9155281211432038, 0.041513960423622744, 0.04295791843317342]",587
30,"[0.03510504348484279, 0.9238805042106959, 0.041014452304461345]",370
31,"[0.8832005672455603, 0.04226061164726588, 0.07453882110717387]",648
32,"[0.39894717894052806, 0.03250847660652199, 0.5685443444529499]",696
33,"[0.03785670048503107, 0.9269177963196747, 0.03522550319529416]",379
34,"[0.8204598168392397, 0.03820472594926814, 0.14133545721149213]",715
35,"[0.4450578092926213, 0.03461062349720632, 0.5203315672101724]",771
36,"[0.18173467685056138, 0.04098307076775166, 0.7772822523816869]",652
37,"[0.31454099251481216, 0.6514749422952743, 0.033984065189913565]",733
38,"[0.1024458026624121, 0.09684238395688625, 0.8007118133807016]",711
39,"[0.6283548073995305, 0.031047935443321212, 0.3405972571571483]",668
40,"[0.7956360240350174, 0.10536640865865861, 0.09899756730632399]",810
41,"[0.39320858124654995, 0.03672860139613194, 0.5700628173573182]",783
42,"[0.5110761513198342, 0.02993325334674738, 0.45899059533341846]",803
43,"[0.49273048610936754, 0.3257445833556301, 0.18152493053500238]",678
44,"[0.04603123036224166, 0.5185448249048047, 0.4354239447329537]",810
45,"[0.7092161396219792, 0.2560571318680469, 0.034726728509973936]",734
46,"[0.2679980028910695, 0.7014403168407568, 0.03056168026817356]",637
47,"[0.023378723197726735, 0.5253094206529052, 0.45131185614936825]",598
48,"[0.35169132719892787, 0.2709787156616393, 0.3773299571394328]",625
49,"[0.20469259397066814, 0.20823671446346348, 0.5870706915658684]",791
50,"[0.19228463878886656, 0.6159089199656614, 0.19180644124547205]",665
51,"[0.5890246725435722, 0.0339631557972717, 0.37701217165915607]",680
52,"[0.16446192850760613, 0.19222286984408893, 0.6433152016483049]",739
53,"[0.19485019697878592, 0.7286070762628943, 0.07654272675831979]",766
54,"[0.09650852510603086, 0.4131626463357106, 0.4903288285582585]",718
55,"[0.03280123742322337, 0.4787566675552053, 0.4884420950215714]",849
56,"[0.27524459799757567, 0.4906501541733544, 0.23410524782906988]",679
57,"[0.037358630604518224, 0.04287016111772544, 0.9197712082777564]",352
58,"[0.42120249859918646, 0.030204195902056735, 0.5485933054987568]",621
59,"[0.3248706145898655, 0.2505645498740123, 0.4245648355361223]",659
60,"[0.3954331010526409, 0.062225718611831696, 0.5423411803355275]",778
61,"[0.39682499260997695, 0.04414774368465677, 0.5590272637053662]",796
62,"[0.14778510644427453, 0.14568864505610288, 0.7065262484996226]",788
63,"[0.14071222933239588, 0.4256122861980905, 0.4336754844695136]",662
64,"[0.24709167606253393, 0.5459028412371779, 0.20700548270028815]",724
65,"[0.6954498273316939, 0.05086443167009314, 0.25368574099821284]",722
66,"[0.0920783644891411, 0.45684996125629024, 0.4510716742545687]",682
67,"[0.9132662476218449, 0.048594155637733394, 0.03813959674042161]",350
68,"[0.3113750501110082, 0.6546086732754287, 0.03401627661356301]",642
69,"[0.03725542382887762, 0.9248303976730736, 0.03791417849804886]",368
70,"[0.37896145480380483, 0.05591036946892044, 0.5651281757272747]",787
71,"[0.15868066996064997, 0.5210020395954084, 0.3203172904439416]",675
72,"[0.749296259911614, 0.029114403483676932, 0.22158933660470917]",676
73,"[0.040599951406722165, 0.04348028371398548, 0.9159197648792924]",349
74,"[0.024031293423379146, 0.48268454791269383, 0.493284158663927]",589
75,"[0.6362026347835424, 0.049986007162323036, 0.31381135805413446]",708
76,"[0.5881618000250387, 0.07155548652539799, 0.3402827134495633]",619
77,"[0.06644078382977635, 0.89823705984056, 0.03532215632966369]",619
78,"[0.026568447778862553, 0.5861481983642792, 0.38728335385685836]",635
79,"[0.043546229100104035, 0.03264199355733883, 0.923811777342557]",357
80,"[0.7534185235098613, 0.030238502262781356, 0.2163429742273574]",617
81,"[0.09832163300368296, 0.09865984368580352, 0.8030185233105135]",735
82,"[0.04300852815614626, 0.34805043659773877, 0.608941035246115]",801
84,"[0.879985215992276, 0.07806919381819862, 0.04194559018952536]",788
85,"[0.42301643420537066, 0.5414787841436338, 0.035504781650995396]",745
86,"[0.03598888763297067, 0.055448214123995754, 0.9085628982430336]",782
90,"[0.1730587958543174, 0.20611082895326183, 0.6208303751924208]",736
91,"[0.5026984987252836, 0.3483147722566929, 0.1489867290180235]",728
93,"[0.04532061680503433, 0.921286089983371, 0.03339329321159453]",364
94,"[0.30217953956880456, 0.24761957034024693, 0.4502008900909485]",713
97,"[0.5577550800966359, 0.03366539380057119, 0.4085795261027929]",654
98,"[0.4841482309127758, 0.027557276388160492, 0.4882944926990636]",820
99,"[0.6595158401747435, 0.033536552721757706, 0.3069476071034987]",766
100,"[0.4959005356969874, 0.04918061340009432, 0.4549188509029183]",747
102,"[0.39011301870097237, 0.5767463522562853, 0.033140629042742294]",656
103,"[0.7349241397032484, 0.1435013712273444, 0.12157448906940702]",736
106,"[0.0378648600326993, 0.5005752813214526, 0.4615598586458482]",814
107,"[0.5326850046291125, 0.23506259903182708, 0.2322523963390605]",681
109,"[0.04089725545712558, 0.19862690441243835, 0.760475840130436]",758
111,"[0.932788377750971, 0.03735047036318529, 0.029861151885843717]",390
112,"[0.0397589598780334, 0.40492136053115224, 0.5553196795908144]",864
113,"[0.3528984997194235, 0.18040140744232014, 0.4667000928382565]",771
114,"[0.4866746017496478, 0.4865624747660638, 0.026762923484288374]",330
115,"[0.05184497587307452, 0.05390378526353488, 0.8942512388633906]",733
118,"[0.4354702442048361, 0.12237258208972619, 0.44215717370543767]",776
121,"[0.5089800858625108, 0.4306121882847373, 0.060407725852751955]",626
122,"[0.4602277911446318, 0.047385632175307175, 0.4923865766800609]",884
123,"[0.4165150511291535, 0.17181234694015118, 0.4116726019306953]",651
126,"[0.08336270844621392, 0.07619870301124178, 0.8404385885425443]",835
127,"[0.5513870847539785, 0.03290992453628545, 0.4157029907097362]",818
129,"[0.8318567971918621, 0.0417580856275433, 0.12638511718059472]",648
132,"[0.383103278302812, 0.44206742383999725, 0.1748292978571907]",721
133,"[0.49762056419895506, 0.44669552327056955, 0.05568391253047538]",631
139,"[0.02882669205280712, 0.6006365011283112, 0.37053680681888174]",631
140,"[0.48345699060911174, 0.48433167405830435, 0.032211335332583906]",312
142,"[0.03349119278625166, 0.6218880739477187, 0.34462073326602966]",648
143,"[0.4493637930250589, 0.10105785532034417, 0.44957835165459686]",672
144,"[0.836226821892726, 0.053302528973816314, 0.11047064913345761]",755
145,"[0.04953716614712687, 0.44804487297285117, 0.5024179608800221]",882
148,"[0.8516979482195525, 0.0641243554129526, 0.08417769636749502]",844
149,"[0.3051720433176772, 0.5617826445881379, 0.13304531209418505]",688
154,"[0.04009614644201915, 0.04849218797155995, 0.911411665586421]",342
156,"[0.3439917752983799, 0.032553333990109776, 0.6234548907115103]",651
158,"[0.4382406326548064, 0.038679565675212045, 0.5230798016699815]",710
163,"[0.7178002649726444, 0.1398363914329708, 0.1423633435943847]",732
166,"[0.032876273268098506, 0.5446104852296425, 0.422513241502259]",801
170,"[0.16003998466108044, 0.4637142003293261, 0.3762458150095935]",709
173,"[0.32575537264768745, 0.3974188090355788, 0.27682581831673375]",785
179,"[0.4612501127290933, 0.12291227463217384, 0.4158376126387328]",804
183,"[0.03288274091430292, 0.04353086755494075, 0.9235863915307564]",362
186,"[0.8756221176475616, 0.06418261524103079, 0.06019526711140769]",663
190,"[0.29359431625585936, 0.24731760117655047, 0.45908808256759026]",781
192,"[0.7047833490283847, 0.2540148811037127, 0.04120176986790257]",747
196,"[0.05829383240929688, 0.19893992453211162, 0.7427662430585915]",731
207,"[0.8226188929494334, 0.1216670139738202, 0.05571409307674642]",677
210,"[0.827658830330039, 0.0826770378322459, 0.08966413183771522]",794
214,"[0.37508747209232945, 0.2537914430921614, 0.37112108481550904]",760
215,"[0.8848261956135305, 0.059930659552876915, 0.055243144833592585]",880
223,"[0.658254302109206, 0.03748007701155113, 0.3042656208792431]",768
254,"[0.4725344334071307, 0.03459959194583615, 0.4928659746470332]",760
283,"[0.521936874306355, 0.05434645035371416, 0.4237166753399308]",781
289,"[0.5212252832237053, 0.4491309258804269, 0.029643790895867782]",637
297,"[0.3238146564333908, 0.03806972401683988, 0.6381156195497694]",738
302,"[0.4710716567567804, 0.24467375794991522, 0.2842545852933044]",780
306,"[0.5500270500415861, 0.03551782681330446, 0.41445512314510935]",784
307,"[0.4198308735994077, 0.03379160977892556, 0.5463775166216668]",769
316,"[0.3224326194969111, 0.03993875906952138, 0.6376286214335676]",865
319,"[0.5541437096220829, 0.414409348965401, 0.03144694141251616]",746
326,"[0.2303044034319498, 0.29193368628898797, 0.4777619102790622]",750
332,"[0.3195627780862694, 0.27100181031277265, 0.409435411600958]",782
380,"[0.4736952960101851, 0.03711784796915069, 0.4891868560206643]",739
