trial,judgment,num_cols
1,"[0.1723943833931622, 0.4247345470268811, 0.4028710695799567]",503
2,"[0.1275657890599086, 0.44894710757932244, 0.42348710336076895]",489
3,"[0.39064965333619844, 0.43654754032754345, 0.17280280633625802]",530
4,"[0.1663196392534422, 0.15424579945966518, 0.6794345612868926]",432
5,"[0.10311988363257432, 0.39014476104800583, 0.5067353553194199]",498
6,"[0.403328985206444, 0.4238928901477236, 0.17277812464583236]",660
7,"[0.14159296929149862, 0.18300338402800878, 0.6754036466804927]",659
8,"[0.40890741727952357, 0.27974457381510415, 0.3113480089053722]",646
9,"[0.6952740977563903, 0.16108988867633672, 0.14363601356727307]",625
10,"[0.3404186551916159, 0.3461578064505421, 0.3134235383578419]",492
11,"[0.07440252587923514, 0.18154541545890876, 0.7440520586618561]",908
12,"[0.6620358332228871, 0.28689832290619405, 0.05106584387091885]",621
13,"[0.439256314619288, 0.43990193314369846, 0.12084175223701359]",710
14,"[0.13953354739796647, 0.18908881588809395, 0.6713776367139396]",738
15,"[0.48551962775281726, 0.44697518516422213, 0.06750518708296054]",427
16,"[0.5248365878471356, 0.4190536243851838, 0.05610978776768069]",488
17,"[0.35158032002195955, 0.3683841686742091, 0.28003551130383136]",604
18,"[0.5172261201326072, 0.4349990562603939, 0.04777482360699887]",478
19,"[0.5329175344823582, 0.4189945134083767, 0.04808795210926519]",466
20,"[0.7246383599552394, 0.15436587864158832, 0.12099576140317238]",669
21,"[0.29243170107433436, 0.4705157525098024, 0.23705254641586312]",602
22,"[0.10966735256328833, 0.4329200022939774, 0.45741264514273433]",780
23,"[0.04922113841091615, 0.22359979857766032, 0.7271790630114235]",771
24,"[0.1257802606656654, 0.3828352009441884, 0.4913845383901463]",574
25,"[0.26142548012850997, 0.38637989996534083, 0.35219461990614925]",712
26,"[0.11176048216833728, 0.38379849386084536, 0.5044410239708174]",474
27,"[0.11639624133696548, 0.40094419059893655, 0.482659568064098]",529
28,"[0.10231483189499734, 0.40881910979275404, 0.48886605831224866]",496
29,"[0.2822192585268111, 0.32528660608781856, 0.3924941353853703]",396
30,"[0.3306937683751273, 0.4518550001910389, 0.21745123143383382]",600
31,"[0.3532898459817194, 0.38172082073838315, 0.2649893332798973]",625
32,"[0.2538226015435218, 0.4158131948835779, 0.3303642035729004]",556
33,"[0.21286401019216847, 0.5505681252873306, 0.2365678645205009]",582
34,"[0.5624565096708681, 0.2068128855550422, 0.2307306047740896]",652
35,"[0.14965499850607566, 0.4593790488883073, 0.390965952605617]",692
36,"[0.12410920010026585, 0.40446535759464214, 0.47142544230509204]",552
37,"[0.4010314000992323, 0.40303375110838097, 0.19593484879238665]",672
38,"[0.19851733302755012, 0.20111809855033583, 0.600364568422114]",688
39,"[0.36999032212069305, 0.3992351311014349, 0.23077454677787215]",551
40,"[0.7288676667618362, 0.21706755327688196, 0.05406477996128189]",775
41,"[0.08393828605619537, 0.19145368551048053, 0.7246080284333242]",750
42,"[0.04589268443698523, 0.4032509572480979, 0.5508563583149169]",727
43,"[0.3831872690038195, 0.33105953366524404, 0.28575319733093646]",695
44,"[0.19127446025278377, 0.1390734316098343, 0.669652108137382]",772
