trial,judgment,num_cols
1,"[0.09455521644638644, 0.042766389303247596, 0.862678394250366]",603
2,"[0.10324775806439021, 0.047321111046513896, 0.8494311308890958]",637
3,"[0.035162400494509215, 0.9452748050972319, 0.019562794408258852]",330
4,"[0.0114834210118303, 0.015487910653782477, 0.9730286683343872]",323
5,"[0.07965787598778047, 0.8710221635705111, 0.049319960441708374]",649
6,"[0.8825583017234363, 0.0632610404509027, 0.05418065782566102]",716
7,"[0.01419790672612997, 0.03372003230697235, 0.9520820609668976]",745
8,"[0.5538831410553794, 0.27146942922854367, 0.1746474297160769]",620
9,"[0.960098278882281, 0.02076228987843836, 0.01913943123928068]",706
10,"[0.5178616354537882, 0.026251073465044926, 0.4558872910811669]",603
11,"[0.01566740777991242, 0.023171296240498483, 0.9611612959795891]",1105
12,"[0.9172789496772776, 0.030916660939952784, 0.05180438938276945]",718
13,"[0.6194517213799041, 0.36990351433486035, 0.01064476428523557]",780
14,"[0.021471539095426515, 0.028323534596747996, 0.9502049263078255]",835
15,"[0.9059183296792558, 0.03997790920994917, 0.05410376111079504]",316
16,"[0.046715670158216316, 0.9363756687514373, 0.01690866109034633]",608
17,"[0.9047594199183431, 0.04261326849892931, 0.052627311582727584]",610
18,"[0.05001244985735745, 0.9196227420522958, 0.030364808090346695]",638
19,"[0.9524013805948733, 0.03334686213084103, 0.014251757274285771]",323
20,"[0.9406861076765707, 0.022268691525192192, 0.037045200798237074]",729
21,"[0.019383571318869225, 0.9620470105317256, 0.018569418149405166]",348
22,"[0.008014347828225788, 0.44985681632708596, 0.5421288358446882]",837
23,"[0.052788053399092975, 0.18410276202288306, 0.7631091845780239]",763
24,"[0.018462359180129673, 0.02874107652223462, 0.9527965642976356]",332
25,"[0.26414500568444715, 0.6927046365375175, 0.043150357778035366]",755
26,"[0.01220530718633095, 0.04426120654328876, 0.9435334862703803]",325
27,"[0.014393256558483114, 0.03695081339976279, 0.9486559300417542]",332
28,"[0.12133621323363185, 0.8349485412954788, 0.04371524547088927]",642
29,"[0.9014225303106651, 0.04775839208423893, 0.050819077605095964]",584
30,"[0.026886762363978065, 0.9552482441017996, 0.017864993534222245]",347
31,"[0.9256069078681233, 0.04990467755558327, 0.024488414576293412]",622
32,"[0.28580097230583135, 0.048598420326685356, 0.6656006073674833]",690
33,"[0.018674032325822848, 0.9656868880661684, 0.01563907960800871]",329
34,"[0.9193177234301524, 0.020423014316081824, 0.06025926225376567]",756
35,"[0.21622955143395137, 0.049979363306501406, 0.7337910852595472]",764
36,"[0.019287839030236432, 0.031009810576112764, 0.9497023503936507]",596
37,"[0.3540840631792481, 0.6287822255419112, 0.01713371127884058]",757
38,"[0.04807701819869564, 0.04449995643734781, 0.9074230253639565]",792
39,"[0.8212645500480525, 0.03890533864791088, 0.13983011130403653]",638
40,"[0.953165277297532, 0.030036478030162184, 0.016798244672305885]",853
41,"[0.05468818113255609, 0.015232701702263821, 0.9300791171651801]",830
42,"[0.061587210851481264, 0.05965233193648984, 0.8787604572120289]",777
43,"[0.5743631087078529, 0.28035941048481394, 0.1452774808073331]",665
44,"[0.025385023326636474, 0.12135988875247292, 0.8532550879208906]",775
45,"[0.9633996844568042, 0.026997104071815787, 0.009603211471379911]",778
46,"[0.030549850759081214, 0.9281091844574516, 0.041340964783467195]",593
47,"[0.02033599373217499, 0.5361120956683535, 0.4435519105994715]",603
48,"[0.3476145268215685, 0.2515371459405206, 0.4008483272379109]",623
49,"[0.034304788131566656, 0.02729567104875749, 0.9383995408196759]",823
50,"[0.06694936897783829, 0.65376450457864, 0.2792861264435218]",659
51,"[0.6817911681865033, 0.03939343002872134, 0.2788154017847753]",671
52,"[0.056492285864863725, 0.06487912801186314, 0.8786285861232731]",899
53,"[0.16081076635512495, 0.7609948399523158, 0.07819439369255933]",770
54,"[0.024150472268584206, 0.4220003751604402, 0.5538491525709754]",771
55,"[0.007997072517795304, 0.4208138053658935, 0.5711891221163112]",859
56,"[0.04738367442659246, 0.6814291981474584, 0.2711871274259491]",655
57,"[0.011081501311396099, 0.036241395327188675, 0.9526771033614152]",331
58,"[0.39579330961250964, 0.03316699238136096, 0.5710396980061295]",621
59,"[0.3735768949176762, 0.20046794659980938, 0.4259551584825144]",654
60,"[0.05139237801556796, 0.04273258975326861, 0.9058750322311634]",806
61,"[0.0634127511355036, 0.017660725922145782, 0.9189265229423506]",806
62,"[0.17884753035107348, 0.11153537701217124, 0.7096170926367552]",792
63,"[0.21210080840176235, 0.703741827790509, 0.0841573638077287]",692
64,"[0.025426662646354944, 0.6816316828392425, 0.2929416545144026]",713
65,"[0.9382173265122292, 0.018941420407340405, 0.0428412530804304]",751
66,"[0.1815791149356902, 0.6925184296032716, 0.12590245546103832]",721
67,"[0.9513137777026605, 0.03705880176149362, 0.011627420535845933]",326
68,"[0.11963556017442696, 0.8386084583519494, 0.04175598147362373]",601
69,"[0.03032722759477977, 0.9519395379419764, 0.01773323446324387]",341
70,"[0.7027638089950532, 0.04550379691264262, 0.2517323940923042]",766
71,"[0.09225165702550661, 0.716426988495714, 0.1913213544787796]",637
72,"[0.957482413824466, 0.013714964348147516, 0.02880262182738641]",610
73,"[0.015022505318114622, 0.04505361739533053, 0.9399238772865548]",332
74,"[0.013166697990395349, 0.3069501720649276, 0.6798831299446771]",598
75,"[0.8949365504983745, 0.06602151269567899, 0.03904193680594653]",726
