,trial,judgment,num_cols
0,1,"[0.3522612769614396, 0.03407569235400803, 0.6136630306845524]",545
1,2,"[0.5003655835586869, 0.03202909619419255, 0.46760532024712065]",534
2,3,"[0.045205429761333925, 0.9334086644877868, 0.021385905750879303]",590
3,4,"[0.017171303743876865, 0.045025923703597835, 0.9378027725525253]",597
4,5,"[0.22103079593481276, 0.7320618651005546, 0.04690733896463248]",594
5,6,"[0.7490180558122412, 0.1254909720938794, 0.12549097209387944]",638
6,7,"[0.011778489982386531, 0.24511547122453678, 0.7431060387930767]",580
7,8,"[0.39577306284935587, 0.3845338964447995, 0.21969304070584464]",650
8,9,"[0.8664003546632492, 0.021599512555841957, 0.11200013278090891]",538
9,10,"[0.4929803976471487, 0.028734384169604096, 0.47828521818324726]",513
10,11,"[0.03342398640736284, 0.03475426395099475, 0.9318217496416423]",658
11,12,"[0.4711119058619278, 0.010325339652302977, 0.5185627544857692]",643
12,13,"[0.6640300119682543, 0.3254448755383784, 0.010525112493367364]",621
13,14,"[0.05013243992434593, 0.0373468934922233, 0.9125206665834308]",587
14,15,"[0.48778017578130667, 0.024439648437386698, 0.48778017578130667]",403
15,16,"[0.04440914080791237, 0.738844423007136, 0.21674643618495165]",618
16,17,"[0.8936073957252758, 0.049620539578590785, 0.056772064696133454]",640
17,18,"[0.045775591501596456, 0.6995094983867517, 0.25471491011165187]",589
18,19,"[0.9137836983033422, 0.04540171899806496, 0.04081458269859291]",522
19,20,"[0.6708877591094721, 0.011652341013716174, 0.3174598998768118]",581
20,21,"[0.018888509435609727, 0.9654529647145099, 0.01565852584988033]",701
21,22,"[0.008013280034039236, 0.49819340985461524, 0.4937933101113455]",699
22,23,"[0.4229751680544187, 0.32616201471775674, 0.2508628172278245]",769
23,24,"[0.01872148388765698, 0.0243277444723323, 0.9569507716400107]",689
24,25,"[0.43262706876173657, 0.5013687290317218, 0.06600420220654149]",714
25,26,"[0.02826045413623236, 0.04340621532837691, 0.9283333305353907]",561
26,27,"[0.02251013884503283, 0.029647381802366448, 0.9478424793526007]",614
27,28,"[0.5270247585665133, 0.4419457849033295, 0.031029456530157096]",529
28,29,"[0.8863553670821747, 0.056822316458912704, 0.056822316458912704]",417
29,30,"[0.028582115529554083, 0.9519951279298182, 0.01942275654062776]",639
30,31,"[0.9077677689245457, 0.05188013410095164, 0.04035209697450263]",703
31,32,"[0.4597107691994217, 0.04768753949458032, 0.4926016913059979]",598
32,33,"[0.013539130700636623, 0.9584854188311062, 0.02797545046825719]",688
33,34,"[0.8128077410812509, 0.012173871097993711, 0.1750183878207553]",577
34,35,"[0.4899882845317784, 0.042763612076692735, 0.4672481033915289]",717
35,36,"[0.20638406016562658, 0.04174987792326746, 0.7518660619111059]",590
36,37,"[0.393477364743459, 0.596483130459078, 0.010039504797462875]",608
37,38,"[0.07394992686206907, 0.07689001582742323, 0.8491600573105077]",584
38,39,"[0.5963882169510322, 0.03657902077405944, 0.36703276227490844]",579
39,40,"[0.784818867488746, 0.04828761827164551, 0.16689351423960844]",660
40,41,"[0.5036665634617531, 0.008747952954832805, 0.48758548358341414]",638
41,42,"[0.49448847104951327, 0.0647413378411273, 0.44077019110935944]",734
42,43,"[0.46940354924041683, 0.31239938809118933, 0.2181970626683938]",694
43,44,"[0.1456240598853909, 0.5011581519112098, 0.35321778820339933]",747
44,45,"[0.7680505631577842, 0.21977556744557725, 0.012173869396638495]",581
45,46,"[0.2608282540137212, 0.6995758280573243, 0.03959591792895438]",569
46,47,"[0.02873438380403555, 0.5174723631980299, 0.4537932529979345]",513
47,48,"[0.34499143982714425, 0.2855350642798915, 0.36947349589296424]",631
48,49,"[0.24314401967059052, 0.27460544400283665, 0.4822505363265728]",744
49,50,"[0.1705174223025443, 0.6077199751434836, 0.2217626025539721]",745
50,51,"[0.5526739287238743, 0.03830320742201114, 0.40902286385411457]",564
51,52,"[0.12207242349196519, 0.1269145068938189, 0.7510130696142159]",667
52,53,"[0.1436000358890033, 0.7403419222414895, 0.11605804186950722]",692
53,54,"[0.05069428522838302, 0.5287612622730865, 0.4205444524985306]",621
54,55,"[0.008415840090646639, 0.4993040109274529, 0.4922801489819004]",695
55,56,"[0.28339339599680446, 0.4737515505541528, 0.24285505344904273]",697
56,57,"[0.0278825813147285, 0.04342309436672292, 0.9286943243185486]",577
57,58,"[0.45375042585331016, 0.030370834729730387, 0.5158787394169594]",524
58,59,"[0.33185127983288104, 0.21181094795451233, 0.4563377722126065]",692
