,trial,judgment,num_cols
0,1,"[0.007001684720521327, 0.6319464285566804, 0.36105188672279825]",545
1,2,"[0.010314966107377508, 0.4637022884541326, 0.5259827454384899]",534
2,3,"[0.34427899590043126, 0.6440681693484707, 0.011652834751098143]",590
3,4,"[0.029446787351679094, 0.10610593505181001, 0.8644472775965109]",597
4,5,"[0.05394311408504201, 0.4701575930912315, 0.47589929282372645]",594
5,6,"[0.49715937435820357, 0.4956331003092227, 0.007207525332573678]",638
6,7,"[0.014215679288589267, 0.014313519688726841, 0.9714708010226839]",580
7,8,"[0.838985092946807, 0.07447127574332278, 0.08654363130987025]",650
8,9,"[0.979238241079148, 0.01000785848205942, 0.010753900438792556]",538
9,10,"[0.3593701307987413, 0.37570159663695973, 0.264928272564299]",513
10,11,"[0.010354427493124322, 0.010337275865216914, 0.9793082966416587]",658
11,12,"[0.9653283214090461, 0.017087387795326345, 0.01758429079562745]",643
12,13,"[0.36031359768224436, 0.6314730026238127, 0.008213399693942993]",621
13,14,"[0.01400488588371189, 0.0138606199220149, 0.9721344941942732]",587
14,15,"[0.6396141514889658, 0.3535053678469299, 0.006880480664104268]",403
15,16,"[0.5730713419357767, 0.41496057603845177, 0.01196808202577149]",618
16,17,"[0.4228274977857728, 0.5603411179781346, 0.016831384236092636]",640
17,18,"[0.38150879794730463, 0.5974349982887304, 0.021056203763965043]",589
18,19,"[0.6277241195506728, 0.36528861339640756, 0.006987267052919593]",522
19,20,"[0.9775298454606783, 0.01098999802713123, 0.011480156512190521]",581
20,21,"[0.1179406144054922, 0.8501388743392555, 0.03192051125525223]",701
21,22,"[0.006837829811527472, 0.5966080456217455, 0.396554124566727]",699
22,23,"[0.020304186985943818, 0.02543473514813004, 0.9542610778659262]",769
23,24,"[0.008141218302168528, 0.2523683028815707, 0.7394904788162607]",689
24,25,"[0.009658008117324942, 0.5579229223350343, 0.4324190695476407]",714
25,26,"[0.007872926066060578, 0.298760459195113, 0.6933666147388263]",561
26,27,"[0.007703240532508346, 0.291198275139507, 0.7010984843279846]",614
27,28,"[0.019968585918603034, 0.5135584014883734, 0.46647301259302354]",529
28,29,"[0.298345074889142, 0.20726107809758068, 0.49439384701327727]",417
29,30,"[0.22240852512029766, 0.7686062767352355, 0.008985198144466893]",639
30,31,"[0.43588925517363963, 0.5330813770838271, 0.03102936774253333]",703
31,32,"[0.1345752226989331, 0.5945923822331597, 0.2708323950679072]",598
32,33,"[0.011240103778156285, 0.9776503430379689, 0.011109553183874844]",688
33,34,"[0.9616665000094252, 0.014463138689836303, 0.023870361300738562]",577
34,35,"[0.21841161214396249, 0.6191639637928975, 0.16242442406313995]",717
35,36,"[0.03068914098014018, 0.18948836008329362, 0.7798224989365663]",590
36,37,"[0.5078246848206374, 0.4852715481757131, 0.006903767003649507]",608
37,38,"[0.021658972291096056, 0.02012838575076236, 0.9582126419581417]",584
38,39,"[0.3078058766873156, 0.5424026086705558, 0.14979151464212853]",579
39,40,"[0.9780056709875034, 0.010932029243116745, 0.011062299769379997]",660
40,41,"[0.011211310130662216, 0.010304584984367385, 0.9784841048849704]",638
41,42,"[0.009693882746557239, 0.3047079469594341, 0.6855981702940087]",734
42,43,"[0.5126910458261816, 0.11560263994017918, 0.37170631423363915]",694
43,44,"[0.017581164702116948, 0.018939774995840195, 0.9634790603020429]",747
44,45,"[0.9659767558857302, 0.023301038821588103, 0.010722205292681829]",581
45,46,"[0.007935304420111726, 0.30454280625547, 0.6875218893244183]",569
46,47,"[0.03252390394095847, 0.5153150813352358, 0.4521610147238056]",513
47,48,"[0.38175320128302526, 0.15689896356915858, 0.4613478351478161]",631
48,49,"[0.0163199827722107, 0.01596788558437479, 0.9677121316434145]",744
49,50,"[0.15088694543217707, 0.6276148886263576, 0.22149816594146524]",745
50,51,"[0.4722745385856578, 0.5092549135038663, 0.018470547910475858]",564
51,52,"[0.011987236148971977, 0.010034250894663942, 0.9779785129563642]",667
52,53,"[0.2796782777376739, 0.3487915328796339, 0.3715301893826922]",692
53,54,"[0.013307294090969158, 0.26317891595734844, 0.7235137899516824]",621
54,55,"[0.011210775555178095, 0.2630964863222085, 0.7256927381226135]",695
55,56,"[0.017907904731172583, 0.8702599185251628, 0.11183217674366454]",697
56,57,"[0.008930509575350286, 0.3395685863001214, 0.6515009041245282]",577
57,58,"[0.29424186192640933, 0.47477155618057826, 0.23098658189301235]",524
58,59,"[0.46456265386221385, 0.1353634161107184, 0.4000739300270678]",692
59,60,"[0.01177972505743652, 0.045184892859430406, 0.943035382083133]",738
60,61,"[0.014887005947373782, 0.015094704435554872, 0.9700182896170713]",645
61,62,"[0.598393173901995, 0.047387305401436576, 0.3542195206965685]",729
62,63,"[0.4265073129916518, 0.5616924780873875, 0.011800208920960708]",715
63,64,"[0.017816601261523554, 0.5959332787258329, 0.38625012001264364]",744
