,trial,judgment,num_cols
0,1,"[0.009554995120977072, 0.013105121115359622, 0.9773398837636632]",545
1,2,"[0.025841468106203535, 0.012772354153843857, 0.9613861777399526]",534
2,3,"[0.006567169877383978, 0.9931772035800004, 0.0002556265426156314]",590
3,4,"[0.00035952656123357506, 0.0014530614611414654, 0.998187411977625]",597
4,5,"[0.0441631784385281, 0.9415377006445231, 0.014299120916948667]",594
5,6,"[0.9436890453224406, 0.05486736221694441, 0.001443592460614969]",638
6,7,"[0.0001923510673473808, 0.0043615441400043494, 0.9954461047926483]",580
7,8,"[0.7654505197659086, 0.1274698401610304, 0.10707964007306102]",650
8,9,"[0.9993291186761666, 0.0002819863729727303, 0.0003888949508606227]",538
9,10,"[0.5449612272598562, 0.006367311381574977, 0.44867146135856883]",513
10,11,"[0.0003620574169962106, 0.00042735301503789806, 0.9992105895679659]",658
11,12,"[0.9802600413138816, 0.0005520096957662983, 0.019187948990352168]",643
12,13,"[0.604930115016009, 0.39489618623610234, 0.00017369874788862198]",621
13,14,"[0.000786008766991032, 0.0006814544482375379, 0.9985325367847714]",587
14,15,"[0.9828153093345321, 0.007057301204977501, 0.010127389460490507]",403
15,16,"[0.014971079814069766, 0.9793891201509577, 0.005639800034972683]",618
16,17,"[0.981606904331756, 0.014105944681098069, 0.004287150987145815]",640
17,18,"[0.011753621327262716, 0.9801706638233293, 0.008075714849408064]",589
18,19,"[0.9927910514300681, 0.007099055994304354, 0.00010989257562764102]",522
19,20,"[0.9936268419844171, 0.00019954263820009377, 0.0061736153773829135]",581
20,21,"[0.0017692320107932681, 0.9976792592120581, 0.0005515087771485628]",701
21,22,"[0.00010613809647731085, 0.5689899126634166, 0.43090394924010617]",699
22,23,"[0.03020052417046045, 0.09732927794610775, 0.8724701978834318]",769
23,24,"[0.00011058951261945424, 0.005339795147400446, 0.9945496153399801]",689
24,25,"[0.03883193449088879, 0.9125885188428473, 0.048579546666263865]",714
25,26,"[0.00012527550805619398, 0.0053436994662098124, 0.994531025025734]",561
26,27,"[0.00011334407220102966, 0.006340420308567963, 0.993546235619231]",614
27,28,"[0.033499812119095244, 0.9502310586551715, 0.01626912922573332]",529
28,29,"[0.9670518854983385, 0.012801098596119706, 0.020147015905541736]",417
29,30,"[0.003784773344091137, 0.9959830631479468, 0.00023216350796197537]",639
30,31,"[0.984607891778797, 0.01280230841125157, 0.0025897998099514465]",703
31,32,"[0.33848202086095697, 0.022880654562517855, 0.6386373245765252]",598
32,33,"[0.0001265206678461137, 0.9997355671932024, 0.0001379121389515102]",688
33,34,"[0.9868340540680818, 0.00035081675686959597, 0.012815129175048595]",577
34,35,"[0.3833077404062848, 0.020746052364346464, 0.5959462072293688]",717
35,36,"[0.015036461526177254, 0.004773304361626254, 0.9801902341121964]",590
36,37,"[0.3964176516013338, 0.603345058624309, 0.0002372897743571769]",608
37,38,"[0.003939969275712891, 0.0019977510675371103, 0.9940622796567499]",584
38,39,"[0.7523777199165074, 0.01183296550397789, 0.2357893145795147]",579
39,40,"[0.9981512164788979, 0.001064776350083826, 0.0007840071710183107]",660
40,41,"[0.017407028661652647, 0.0002242219123731881, 0.9823687494259742]",638
41,42,"[0.013729989512976536, 0.04146993501425056, 0.9448000754727729]",734
42,43,"[0.6350884759770248, 0.17879808658382768, 0.18611343743914754]",694
43,44,"[0.007702647735073087, 0.029673010661875072, 0.9626243416030518]",747
44,45,"[0.9921884227251638, 0.0076600248703356955, 0.00015155240450025195]",581
45,46,"[0.00616280341323967, 0.9774942346028209, 0.016342961983939395]",569
46,47,"[0.0013359975069133234, 0.5549335894436328, 0.4437304130494539]",513
47,48,"[0.3541989164686389, 0.20404429664634813, 0.441756786885013]",631
48,49,"[0.006925936311292356, 0.006696296164767614, 0.98637776752394]",744
49,50,"[0.04538911168243626, 0.7679893554449252, 0.18662153287263863]",745
50,51,"[0.9069979434429968, 0.013926088615565704, 0.07907596794143738]",564
51,52,"[0.005656411676145313, 0.0027307237568227833, 0.991612864567032]",667
52,53,"[0.09269534915277278, 0.8228608441700941, 0.08444380667713311]",692
53,54,"[0.0015594757114364075, 0.34078182787440486, 0.6576586964141586]",621
