trial,hole,data_y,lower,upper
1,0,0.4,0.23333333333333334,0.6
1,1,0.0,0.0,0.0
1,2,0.6,0.4,0.7666666666666667
2,0,0.16666666666666666,0.06666666666666667,0.3
2,1,0.0,0.0,0.0
2,2,0.8333333333333334,0.7,0.9333333333333333
3,0,0.06666666666666667,0.0,0.16666666666666666
3,1,0.9333333333333333,0.8333333333333334,1.0
3,2,0.0,0.0,0.0
4,0,0.0,0.0,0.0
4,1,0.0,0.0,0.0
4,2,1.0,1.0,1.0
5,0,0.3,0.13333333333333333,0.4666666666666667
5,1,0.7,0.5333333333333333,0.8666666666666667
5,2,0.0,0.0,0.0
6,0,0.8666666666666667,0.7333333333333333,0.9666666666666667
6,1,0.13333333333333333,0.03333333333333333,0.26666666666666666
6,2,0.0,0.0,0.0
7,0,0.0,0.0,0.0
7,1,0.13333333333333333,0.03333333333333333,0.26666666666666666
7,2,0.8666666666666667,0.7333333333333333,0.9666666666666667
8,0,0.7333333333333333,0.5666666666666667,0.9
8,1,0.13333333333333333,0.03333333333333333,0.26666666666666666
8,2,0.13333333333333333,0.03333333333333333,0.26666666666666666
9,0,0.6666666666666666,0.5,0.8333333333333334
9,1,0.0,0.0,0.0
9,2,0.3333333333333333,0.16666666666666666,0.5
10,0,0.6333333333333333,0.43333333333333335,0.8
10,1,0.06666666666666667,0.0,0.16666666666666666
10,2,0.3,0.13333333333333333,0.5
11,0,0.0,0.0,0.0
11,1,0.06666666666666667,0.0,0.16666666666666666
11,2,0.9333333333333333,0.8333333333333334,1.0
12,0,0.5,0.3333333333333333,0.6666666666666666
12,1,0.03333333333333333,0.0,0.1
12,2,0.4666666666666667,0.3,0.6333333333333333
13,0,0.9,0.7666666666666667,1.0
13,1,0.1,0.0,0.23333333333333334
13,2,0.0,0.0,0.0
14,0,0.03333333333333333,0.0,0.1
14,1,0.1,0.0,0.2
14,2,0.8666666666666667,0.7333333333333333,0.9666666666666667
15,0,0.6,0.43333333333333335,0.7666666666666667
15,1,0.06666666666666667,0.0,0.16666666666666666
15,2,0.3333333333333333,0.16666666666666666,0.5
16,0,0.1,0.0,0.2
16,1,0.8333333333333334,0.6991666666666667,0.9666666666666667
16,2,0.06666666666666667,0.0,0.16666666666666666
17,0,0.9666666666666667,0.9,1.0
17,1,0.03333333333333333,0.0,0.1
17,2,0.0,0.0,0.0
18,0,0.1,0.0,0.2
18,1,0.6,0.43333333333333335,0.7666666666666667
18,2,0.3,0.13333333333333333,0.4666666666666667
19,0,0.9666666666666667,0.9,1.0
19,1,0.03333333333333333,0.0,0.1
19,2,0.0,0.0,0.0
20,0,0.5517241379310345,0.3793103448275862,0.7249999999999992
20,1,0.06896551724137931,0.0,0.1724137931034483
20,2,0.3793103448275862,0.20689655172413793,0.5517241379310345
21,0,0.0,0.0,0.0
21,1,0.9666666666666667,0.9,1.0
21,2,0.03333333333333333,0.0,0.1
