trial,hole,data_y,lower,upper
1,0,0.0,0.0,0.0
1,1,0.9666666666666667,0.9,1.0
1,2,0.03333333333333333,0.0,0.1
2,0,0.06666666666666667,0.0,0.16666666666666666
2,1,0.4666666666666667,0.3,0.6666666666666666
2,2,0.4666666666666667,0.3,0.6341666666666659
3,0,0.1,0.0,0.2008333333333326
3,1,0.8333333333333334,0.7,0.9341666666666659
3,2,0.06666666666666667,0.0,0.16666666666666666
4,0,0.03571428571428571,0.0,0.10714285714285714
4,1,0.10714285714285714,0.0,0.25
4,2,0.8571428571428571,0.7142857142857143,0.9642857142857143
5,0,0.034482758620689655,0.0,0.10344827586206896
5,1,0.7931034482758621,0.6543103448275862,0.9310344827586207
5,2,0.1724137931034483,0.034482758620689655,0.3103448275862069
6,0,0.39285714285714285,0.21428571428571427,0.5714285714285714
6,1,0.5714285714285714,0.39285714285714285,0.75
6,2,0.03571428571428571,0.0,0.10714285714285714
7,0,0.0,0.0,0.0
7,1,0.03333333333333333,0.0,0.1
7,2,0.9666666666666667,0.9,1.0
8,0,0.7666666666666667,0.6,0.9
8,1,0.16666666666666666,0.06666666666666667,0.3
8,2,0.06666666666666667,0.0,0.16666666666666666
9,0,1.0,1.0,1.0
9,1,0.0,0.0,0.0
9,2,0.0,0.0,0.0
10,0,0.5357142857142857,0.35714285714285715,0.7142857142857143
10,1,0.2857142857142857,0.14285714285714285,0.4642857142857143
10,2,0.17857142857142858,0.03571428571428571,0.32142857142857145
11,0,0.0,0.0,0.0
11,1,0.03333333333333333,0.0,0.1
11,2,0.9666666666666667,0.9,1.0
12,0,0.9333333333333333,0.8333333333333334,1.0
12,1,0.06666666666666667,0.0,0.16666666666666666
12,2,0.0,0.0,0.0
13,0,0.2,0.06666666666666667,0.36666666666666664
13,1,0.7666666666666667,0.6,0.9
13,2,0.03333333333333333,0.0,0.1
14,0,0.0,0.0,0.0
14,1,0.03333333333333333,0.0,0.1
14,2,0.9666666666666667,0.9,1.0
15,0,0.9333333333333333,0.8333333333333334,1.0
